Month,Year,Quarter,Department,Account,Account_Type,Budget,Actual,Variance,Variance_Pct,Currency
April,2024,Q2,IT,Software,Expense,25000000,27000000,-2000000,-8.00,IDR
April,2024,Q2,IT,Hardware,Expense,35000000,30000000,5000000,14.29,IDR
April,2024,Q2,HR,Training,Expense,20000000,22000000,-2000000,-10.00,IDR
May,2024,Q2,Sales,Revenue,Income,980000000,1050000000,70000000,7.14,IDR
May,2024,Q2,Sales,COGS,Expense,588000000,610000000,-22000000,-3.74,IDR
May,2024,Q2,Marketing,Advertising,Expense,90000000,105000000,-15000000,-16.67,IDR
May,2024,Q2,Marketing,Events,Expense,50000000,55000000,-5000000,-10.00,IDR
May,2024,Q2,Operations,Salaries,Expense,210000000,210000000,0,0.00,IDR
May,2024,Q2,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
May,2024,Q2,Operations,Utilities,Expense,15000000,15500000,-500000,-3.33,IDR
May,2024,Q2,IT,Software,Expense,25000000,24000000,1000000,4.00,IDR
May,2024,Q2,IT,Hardware,Expense,35000000,38000000,-3000000,-8.57,IDR
May,2024,Q2,HR,Training,Expense,20000000,20000000,0,0.00,IDR
June,2024,Q2,Sales,Revenue,Income,1020000000,1150000000,130000000,12.75,IDR
June,2024,Q2,Sales,COGS,Expense,612000000,668000000,-56000000,-9.15,IDR
June,2024,Q2,Marketing,Advertising,Expense,90000000,120000000,-30000000,-33.33,IDR
June,2024,Q2,Marketing,Events,Expense,70000000,68000000,2000000,2.86,IDR
June,2024,Q2,Operations,Salaries,Expense,210000000,215000000,-5000000,-2.38,IDR
June,2024,Q2,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
June,2024,Q2,Operations,Utilities,Expense,15000000,19000000,-4000000,-26.67,IDR
June,2024,Q2,IT,Software,Expense,25000000,25000000,0,0.00,IDR
June,2024,Q2,IT,Hardware,Expense,35000000,32000000,3000000,8.57,IDR
June,2024,Q2,HR,Training,Expense,20000000,21000000,-1000000,-5.00,IDR
July,2024,Q3,Sales,Revenue,Income,1100000000,1280000000,180000000,16.36,IDR
July,2024,Q3,Sales,COGS,Expense,660000000,742000000,-82000000,-12.42,IDR
July,2024,Q3,Marketing,Advertising,Expense,100000000,132000000,-32000000,-32.00,IDR
July,2024,Q3,Marketing,Events,Expense,60000000,58000000,2000000,3.33,IDR
July,2024,Q3,Operations,Salaries,Expense,220000000,220000000,0,0.00,IDR
July,2024,Q3,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
July,2024,Q3,Operations,Utilities,Expense,18000000,21000000,-3000000,-16.67,IDR
July,2024,Q3,IT,Software,Expense,28000000,26000000,2000000,7.14,IDR
July,2024,Q3,IT,Hardware,Expense,40000000,35000000,5000000,12.50,IDR
July,2024,Q3,HR,Training,Expense,25000000,24000000,1000000,4.00,IDR
August,2024,Q3,Sales,Revenue,Income,1150000000,1320000000,170000000,14.78,IDR
August,2024,Q3,Sales,COGS,Expense,690000000,765000000,-75000000,-10.87,IDR
August,2024,Q3,Marketing,Advertising,Expense,100000000,140000000,-40000000,-40.00,IDR
August,2024,Q3,Marketing,Events,Expense,60000000,62000000,-2000000,-3.33,IDR
August,2024,Q3,Operations,Salaries,Expense,220000000,220000000,0,0.00,IDR
August,2024,Q3,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
August,2024,Q3,Operations,Utilities,Expense,18000000,20000000,-2000000,-11.11,IDR
August,2024,Q3,IT,Software,Expense,28000000,28000000,0,0.00,IDR
August,2024,Q3,IT,Hardware,Expense,40000000,42000000,-2000000,-5.00,IDR
August,2024,Q3,HR,Training,Expense,25000000,25000000,0,0.00,IDR
September,2024,Q3,Sales,Revenue,Income,1200000000,1380000000,180000000,15.00,IDR
September,2024,Q3,Sales,COGS,Expense,720000000,800000000,-80000000,-11.11,IDR
September,2024,Q3,Marketing,Advertising,Expense,100000000,145000000,-45000000,-45.00,IDR
September,2024,Q3,Marketing,Events,Expense,80000000,78000000,2000000,2.50,IDR
September,2024,Q3,Operations,Salaries,Expense,220000000,225000000,-5000000,-2.27,IDR
September,2024,Q3,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
September,2024,Q3,Operations,Utilities,Expense,18000000,22000000,-4000000,-22.22,IDR
September,2024,Q3,IT,Software,Expense,28000000,26000000,2000000,7.14,IDR
September,2024,Q3,IT,Hardware,Expense,40000000,55000000,-15000000,-37.50,IDR
September,2024,Q3,HR,Training,Expense,25000000,28000000,-3000000,-12.00,IDR
October,2024,Q4,Sales,Revenue,Income,1300000000,1480000000,180000000,13.85,IDR
October,2024,Q4,Sales,COGS,Expense,780000000,858000000,-78000000,-10.00,IDR
October,2024,Q4,Marketing,Advertising,Expense,120000000,158000000,-38000000,-31.67,IDR
October,2024,Q4,Marketing,Events,Expense,80000000,75000000,5000000,6.25,IDR
October,2024,Q4,Operations,Salaries,Expense,230000000,230000000,0,0.00,IDR
October,2024,Q4,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
October,2024,Q4,Operations,Utilities,Expense,20000000,23000000,-3000000,-15.00,IDR
October,2024,Q4,IT,Software,Expense,30000000,29000000,1000000,3.33,IDR
October,2024,Q4,IT,Hardware,Expense,45000000,40000000,5000000,11.11,IDR
October,2024,Q4,HR,Training,Expense,28000000,26000000,2000000,7.14,IDR
November,2024,Q4,Sales,Revenue,Income,1400000000,1560000000,160000000,11.43,IDR
November,2024,Q4,Sales,COGS,Expense,840000000,904000000,-64000000,-7.62,IDR
November,2024,Q4,Marketing,Advertising,Expense,120000000,165000000,-45000000,-37.50,IDR
November,2024,Q4,Marketing,Events,Expense,80000000,82000000,-2000000,-2.50,IDR
November,2024,Q4,Operations,Salaries,Expense,230000000,230000000,0,0.00,IDR
November,2024,Q4,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
November,2024,Q4,Operations,Utilities,Expense,20000000,24000000,-4000000,-20.00,IDR
November,2024,Q4,IT,Software,Expense,30000000,30000000,0,0.00,IDR
November,2024,Q4,IT,Hardware,Expense,45000000,48000000,-3000000,-6.67,IDR
November,2024,Q4,HR,Training,Expense,28000000,27000000,1000000,3.57,IDR
December,2024,Q4,Sales,Revenue,Income,1500000000,1750000000,250000000,16.67,IDR
December,2024,Q4,Sales,COGS,Expense,900000000,1015000000,-115000000,-12.78,IDR
December,2024,Q4,Marketing,Advertising,Expense,150000000,195000000,-45000000,-30.00,IDR
December,2024,Q4,Marketing,Events,Expense,100000000,95000000,5000000,5.00,IDR
December,2024,Q4,Operations,Salaries,Expense,230000000,235000000,-5000000,-2.17,IDR
December,2024,Q4,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
December,2024,Q4,Operations,Utilities,Expense,20000000,25000000,-5000000,-25.00,IDR
December,2024,Q4,IT,Software,Expense,30000000,28000000,2000000,6.67,IDR
December,2024,Q4,IT,Hardware,Expense,45000000,50000000,-5000000,-11.11,IDR
December,2024,Q4,HR,Training,Expense,28000000,30000000,-2000000,-7.14,IDR
